file,TP,FP,FN,Precision,Recall,F1
LIPITOR.242,1,0,0,1.0,1.0,1.0
LIPITOR.243,0,0,0,0.0,0.0,0.0
LIPITOR.244,0,0,0,0.0,0.0,0.0
LIPITOR.245,0,0,0,0.0,0.0,0.0
LIPITOR.246,3,0,0,1.0,1.0,1.0
LIPITOR.247,1,1,0,0.5,1.0,0.667
LIPITOR.248,1,0,0,1.0,1.0,1.0
LIPITOR.249,5,0,0,1.0,1.0,1.0
LIPITOR.25,1,0,0,1.0,1.0,1.0
LIPITOR.250,1,0,0,1.0,1.0,1.0
LIPITOR.251,0,0,0,0.0,0.0,0.0
LIPITOR.252,1,0,0,1.0,1.0,1.0
LIPITOR.253,2,0,0,1.0,1.0,1.0
LIPITOR.254,1,0,0,1.0,1.0,1.0
LIPITOR.255,1,0,0,1.0,1.0,1.0
LIPITOR.256,0,0,0,0.0,0.0,0.0
LIPITOR.257,0,1,0,0.0,0.0,0.0
LIPITOR.258,1,0,0,1.0,1.0,1.0
LIPITOR.259,1,0,0,1.0,1.0,1.0
LIPITOR.26,0,0,0,0.0,0.0,0.0
LIPITOR.260,0,1,1,0.0,0.0,0.0
LIPITOR.261,1,0,0,1.0,1.0,1.0
LIPITOR.262,0,0,0,0.0,0.0,0.0
LIPITOR.263,0,0,0,0.0,0.0,0.0
LIPITOR.264,0,0,0,0.0,0.0,0.0
LIPITOR.265,0,0,0,0.0,0.0,0.0
LIPITOR.266,0,0,0,0.0,0.0,0.0
LIPITOR.267,1,0,0,1.0,1.0,1.0
LIPITOR.268,3,0,0,1.0,1.0,1.0
LIPITOR.269,1,0,0,1.0,1.0,1.0
LIPITOR.27,0,0,0,0.0,0.0,0.0
LIPITOR.270,1,0,0,1.0,1.0,1.0
LIPITOR.271,1,0,0,1.0,1.0,1.0
LIPITOR.272,0,0,0,0.0,0.0,0.0
LIPITOR.273,2,0,0,1.0,1.0,1.0
LIPITOR.274,1,0,0,1.0,1.0,1.0
LIPITOR.275,2,1,0,0.667,1.0,0.8
LIPITOR.276,0,0,0,0.0,0.0,0.0
LIPITOR.277,0,0,0,0.0,0.0,0.0
LIPITOR.278,2,0,0,1.0,1.0,1.0
LIPITOR.279,0,0,0,0.0,0.0,0.0
LIPITOR.28,0,0,0,0.0,0.0,0.0
LIPITOR.280,2,0,0,1.0,1.0,1.0
LIPITOR.281,2,0,0,1.0,1.0,1.0
LIPITOR.282,1,0,0,1.0,1.0,1.0
LIPITOR.283,1,0,0,1.0,1.0,1.0
LIPITOR.284,2,1,0,0.667,1.0,0.8
LIPITOR.285,0,0,0,0.0,0.0,0.0
LIPITOR.286,1,0,0,1.0,1.0,1.0
LIPITOR.287,0,0,0,0.0,0.0,0.0
LIPITOR.288,1,0,0,1.0,1.0,1.0
LIPITOR.289,1,0,0,1.0,1.0,1.0
LIPITOR.29,2,0,0,1.0,1.0,1.0
LIPITOR.290,2,0,0,1.0,1.0,1.0
LIPITOR.291,1,0,0,1.0,1.0,1.0
LIPITOR.292,2,0,0,1.0,1.0,1.0
LIPITOR.293,1,0,0,1.0,1.0,1.0
LIPITOR.294,1,0,0,1.0,1.0,1.0
LIPITOR.295,1,0,0,1.0,1.0,1.0
LIPITOR.296,2,0,0,1.0,1.0,1.0
LIPITOR.297,3,0,0,1.0,1.0,1.0
LIPITOR.298,1,0,0,1.0,1.0,1.0
LIPITOR.299,0,0,0,0.0,0.0,0.0
LIPITOR.3,3,0,0,1.0,1.0,1.0
LIPITOR.30,0,0,0,0.0,0.0,0.0
LIPITOR.300,1,0,0,1.0,1.0,1.0
LIPITOR.301,0,0,0,0.0,0.0,0.0
LIPITOR.302,1,0,0,1.0,1.0,1.0
LIPITOR.303,0,0,0,0.0,0.0,0.0
LIPITOR.304,2,0,0,1.0,1.0,1.0
LIPITOR.305,0,0,0,0.0,0.0,0.0
LIPITOR.306,1,0,0,1.0,1.0,1.0
LIPITOR.307,1,0,0,1.0,1.0,1.0
LIPITOR.308,0,0,0,0.0,0.0,0.0
LIPITOR.309,1,0,0,1.0,1.0,1.0
LIPITOR.31,2,0,0,1.0,1.0,1.0
LIPITOR.310,1,0,0,1.0,1.0,1.0
LIPITOR.311,1,0,0,1.0,1.0,1.0
LIPITOR.312,1,0,0,1.0,1.0,1.0
LIPITOR.313,0,0,0,0.0,0.0,0.0
LIPITOR.314,1,0,0,1.0,1.0,1.0
LIPITOR.315,1,0,0,1.0,1.0,1.0
LIPITOR.316,1,0,0,1.0,1.0,1.0
LIPITOR.317,0,0,0,0.0,0.0,0.0
LIPITOR.318,4,0,0,1.0,1.0,1.0
LIPITOR.319,1,0,0,1.0,1.0,1.0
LIPITOR.32,1,0,0,1.0,1.0,1.0
LIPITOR.320,0,0,0,0.0,0.0,0.0
LIPITOR.321,1,1,0,0.5,1.0,0.667
LIPITOR.322,1,0,0,1.0,1.0,1.0
LIPITOR.323,2,1,0,0.667,1.0,0.8
LIPITOR.324,1,0,0,1.0,1.0,1.0
LIPITOR.325,1,1,0,0.5,1.0,0.667
LIPITOR.326,0,0,0,0.0,0.0,0.0
LIPITOR.327,5,0,0,1.0,1.0,1.0
LIPITOR.328,1,0,0,1.0,1.0,1.0
LIPITOR.329,1,0,0,1.0,1.0,1.0
LIPITOR.33,0,0,0,0.0,0.0,0.0
LIPITOR.330,0,0,0,0.0,0.0,0.0
LIPITOR.331,4,0,0,1.0,1.0,1.0
LIPITOR.332,1,0,0,1.0,1.0,1.0
LIPITOR.333,1,0,0,1.0,1.0,1.0
LIPITOR.334,0,1,0,0.0,0.0,0.0
LIPITOR.335,1,0,0,1.0,1.0,1.0
LIPITOR.336,0,0,0,0.0,0.0,0.0
LIPITOR.337,1,0,0,1.0,1.0,1.0
LIPITOR.338,0,0,0,0.0,0.0,0.0
LIPITOR.339,1,0,0,1.0,1.0,1.0
LIPITOR.34,2,0,0,1.0,1.0,1.0
LIPITOR.340,0,0,0,0.0,0.0,0.0
LIPITOR.341,1,0,0,1.0,1.0,1.0
LIPITOR.342,0,0,0,0.0,0.0,0.0
LIPITOR.343,1,0,0,1.0,1.0,1.0
LIPITOR.344,1,0,0,1.0,1.0,1.0
LIPITOR.345,1,0,0,1.0,1.0,1.0
LIPITOR.346,1,0,0,1.0,1.0,1.0
LIPITOR.347,0,0,0,0.0,0.0,0.0
LIPITOR.348,0,0,0,0.0,0.0,0.0
LIPITOR.349,0,0,0,0.0,0.0,0.0
LIPITOR.35,2,0,0,1.0,1.0,1.0
LIPITOR.350,1,0,0,1.0,1.0,1.0
LIPITOR.351,2,0,0,1.0,1.0,1.0
LIPITOR.352,1,0,0,1.0,1.0,1.0
LIPITOR.353,2,0,0,1.0,1.0,1.0
LIPITOR.354,2,0,0,1.0,1.0,1.0
LIPITOR.355,1,0,0,1.0,1.0,1.0
LIPITOR.356,1,0,0,1.0,1.0,1.0
LIPITOR.357,7,0,0,1.0,1.0,1.0
LIPITOR.358,3,0,0,1.0,1.0,1.0
